,display_name,name,start_date,end_date,type
000836.XSHE,富通鑫茂,FTXM,1997-09-29,2200-01-01,stock
000837.XSHE,秦川机床,QCJC,1998-09-28,2200-01-01,stock
000838.XSHE,财信发展,CXFZ,1997-06-26,2200-01-01,stock
000839.XSHE,中信国安,ZXGA,1997-10-31,2200-01-01,stock
000848.XSHE,承德露露,CDLL,1997-11-13,2200-01-01,stock
000850.XSHE,华茂股份,HMGF,1998-10-07,2200-01-01,stock
000851.XSHE,高鸿股份,GHGF,1998-06-09,2200-01-01,stock
000852.XSHE,石化机械,SHJX,1998-11-26,2200-01-01,stock
000856.XSHE,冀东装备,JDZB,1998-08-13,2200-01-01,stock
000858.XSHE,五粮液,WLY,1998-04-27,2200-01-01,stock
000859.XSHE,国风塑业,GFSY,1998-11-19,2200-01-01,stock
000860.XSHE,顺鑫农业,SXNY,1998-11-04,2200-01-01,stock
